URL,Name,Price,Location,Formula,Supplier
https://spec.drom.ru/irkutsk/truck/truck-tractor/tjagach-faw-6x4-2019-ot-oficialnogo-dilera-52147129.html,"FAW J6, 2019",5 550 000,Иркутск,6x4,"ООО""ФИЛТЭКС"""
https://spec.drom.ru/novosibirsk/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-man-tga-18.480-2007-g-v-s-nds-78891599.html,"MAN TGA 18.480, 2007",1 200 000,Новосибирск,4x2,СИБТРАКСКАН
https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/tjagach-kamaz-65116-89386742.html,"КамАЗ 65116, 2014",1 450 000,Красноярск,6x4,
https://spec.drom.ru/vladivostok/truck/truck-tractor/iveco-stralis-at440s48t-p-rr-tjagach-4x2-89220151.html,"Iveco Stralis Hi-Way, 2020",8 895 000,Владивосток,4x2,ООО ТАРКОН
https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/prodam-tjagach-mercedes-benz-actros-3346-as-88755178.html,"Mercedes-Benz Actros, 2018",8 650 000,Красноярск,6x6,
https://spec.drom.ru/artem/truck/truck-tractor/prodaetsja-sedelnyj-tjagach-scania-r500-ca6x4ehz-87852058.html,"Scania R500CA, 2017",5 500 000,Артем,6x4,"АО ИК ""Ренессанс Групп"""
https://spec.drom.ru/vladivostok/truck/truck-tractor/prodam-peterbilt-387-2011g-69846789.html,"Peterbilt 387, 2011",3 600 000,Владивосток,6x4,Деловые машины и транспорт
https://spec.drom.ru/vladivostok/truck/truck-tractor/prodam-sedelnyj-tjagach-volvo-fh12-6x4-70253014.html,"Volvo FH12, 1998",2 500 000,Владивосток,6x4,
https://spec.drom.ru/vladivostok/truck/truck-tractor/sedelnyj-tjagach-2018-scania-g400la-73066786.html,"Scania G400LA, 2017",6 250 000,Владивосток,4x2,
https://spec.drom.ru/vladivostok/truck/truck-tractor/prodam-tjagach-peterbilt-387-52221876.html,"Peterbilt 387, 2009",3 500 000,Владивосток,6x4,Деловые машины и транспорт
https://spec.drom.ru/novosibirsk/truck/truck-tractor/prodam-kamaz-84241121.html,"КамАЗ 65116-32, 2017",1 999 000,Новосибирск,6x4,
https://spec.drom.ru/ussuriisk/truck/truck-tractor/prodam-sedelnyj-tjagach-daf-87596460.html,"DAF, 2002",3 000 000,Уссурийск,4x2,
https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/kamaz-54901-84644866.html,"КамАЗ 54901, 2020",7 099 200,Красноярск,4x2,"ООО ""Техавтоцентр"""
https://spec.drom.ru/kemerovo/truck/truck-tractor/prodam-flc-dd14-2003-xtc-72078300.html,"Freightliner Columbia, 2003",599 000,Кемерово,6x4,
https://spec.drom.ru/krasnoyarsk/truck/truck-tractor/kamaz-65206-t5-52157751.html,"КамАЗ 65206, 2020",6 450 000,Красноярск,6x4,"ООО ""Орион-Моторс"""
https://spec.drom.ru/yakutsk/truck/truck-tractor/sedelnyj-tjagach-scania-p440a6x4ha-89556379.html,"Scania P440A6X4HA, 2020",11 300 000,Якутск,6x4,"ООО ""СахаСканСервис"" - официальный дилер SCANIA"
https://spec.drom.ru/chita/truck/truck-tractor/prodam-volvo-fh12-89018745.html,"Volvo FH12, 1995",500 000,Чита,4x2,
https://spec.drom.ru/blagoveshchensk/truck/truck-tractor/prodam-scepku-88779168.html,"Kenworth T2000, 2000",2 250 000,Благовещенск,6x4,
https://spec.drom.ru/moskva/truck/truck-tractor/mercedes-actros-1841-2011-god-tjagach-mersedes-85584582.html,"Mercedes-Benz Actros, 2011",2 200 000,Москва,4x2,GROSS AUTO
https://spec.drom.ru/khabarovsk/truck/truck-tractor/prodam-scepku-shaanxi-2013-86223489.html,"Shaanxi Shacman, 2013",2 950 000,Хабаровск,6x4,
https://spec.drom.ru/khabarovsk/truck/truck-tractor/prodam-sedelnyj-tjagach-maz-87056750.html,"МАЗ, 2015",2 350 000,Хабаровск,6x6,
https://spec.drom.ru/yakutsk/truck/truck-tractor/ssania-r520a6x4hz-88232906.html,"Scania R520A6x4HZ, 2020",,Якутск,6x4,"ООО ""ДВ Скан"" - официальный дилер SCANIA"
